LocationId,Project,Country,State,City,Neighbourhood,WeekStartDate,WeekNumber,Day,FaireeId,remaining_avail,Slots_less_than_1hr,Slots_1hr_to_2hr,Slots_more_than_2hr,bookable_hours,utilisation_index,non,effective_bookable_hours,effective_remaining_hours,effective_Slots_less_than_1hr,effective_Slots_1hr_to_2hr,effective_Slots_more_than_2hr
42,The Ivy,US,NJ,Chatham,Chatham / West Orange Polygon,2026-08-09,1,TUESDAY,64,1.5,0,1,0,8.0000000000000000,0.50000000000000000000,1,4.00,0.75,0.00,0.50,0.00
15,Silver Towers,US,NY,New York,Hell's Kitchen Polygon,2026-08-09,1,WEDNESDAY,63,3.0,2,1,0,8.0000000000000000,0.85714285714285714286,1,6.86,2.57,1.71,0.86,0.00
133,2000 Biscayne,US,FL,Miami,Edgewater Polygon,2026-08-16,2,WEDNESDAY,134,2.5,0,0,1,8.0000000000000000,0.55555555555555555556,1,4.44,1.39,0.00,0.00,0.56
121,Flamingo Point Center Tower,US,FL,Miami Beach,Miami Beach Polygon,2026-08-16,2,THURSDAY,137,0,0,0,0,8.0000000000000000,0.06666666666666666667,1,0.53,0.00,0.00,0.00,0.00
44,330W-56th,US,NY,New York,Hell's Kitchen Polygon,2026-08-09,1,MONDAY,60,1.5,2,0,0,8.0000000000000000,0.10000000000000000000,1,0.80,0.15,0.20,0.00,0.00
134,Livana East Hanover,US,NJ,East Hanover,Chatham / West Orange Polygon,2026-08-09,1,FRIDAY,64,5.5,1,0,1,8.0000000000000000,1.00000000000000000000,1,8.00,5.50,1.00,0.00,1.00
73,The Boulevard,US,FL,Miami,,2026-08-02,4,TUESDAY,146,2.0,0,1,0,8.0000000000000000,0.41666666666666666667,1,3.33,0.83,0.00,0.42,0.00
139,Bay Parc Apartments,US,FL,Miami,Edgewater Polygon,2026-08-02,4,TUESDAY,134,2.5,0,0,1,8.0000000000000000,0.50000000000000000000,1,4.00,1.25,0.00,0.00,0.50
98,345 Baldwin Avenue,US,NJ,Jersey City,Floating Jersey,2026-08-02,4,TUESDAY,139,0.5,1,0,0,8.0000000000000000,0.28571428571428571429,1,2.29,0.14,0.29,0.00,0.00
139,Bay Parc Apartments,US,FL,Miami,Edgewater Polygon,2026-08-16,2,WEDNESDAY,134,2.5,0,0,1,8.0000000000000000,0.44444444444444444444,1,3.56,1.11,0.00,0.00,0.44
133,2000 Biscayne,US,FL,Miami,Edgewater Polygon,2026-08-16,2,MONDAY,134,1.5,3,0,0,8.0000000000000000,0.69230769230769230769,1,5.54,1.04,2.08,0.00,0.00
142,One Harrison,US,NJ,Harrison,Harrison Polygon,2026-08-16,2,THURSDAY,15,5.5,2,0,1,8.0000000000000000,1.00000000000000000000,1,8.00,5.50,2.00,0.00,1.00
15,Silver Towers,US,NY,New York,Hell's Kitchen Polygon,2026-08-02,4,FRIDAY,97,1.5,3,0,0,8.0000000000000000,0.63636363636363636364,1,5.09,0.95,1.91,0.00,0.00
73,The Boulevard,US,FL,Miami,,2026-07-26,3,THURSDAY,146,3.5,2,1,0,8.0000000000000000,0.22222222222222222222,1,1.78,0.78,0.44,0.22,0.00
133,2000 Biscayne,US,FL,Miami,Edgewater Polygon,2026-07-26,3,FRIDAY,134,2.0,0,1,0,8.0000000000000000,0.61538461538461538462,1,4.92,1.23,0.00,0.62,0.00
123,Flamingo South Beach,US,FL,Miami Beach,Miami Beach Polygon,2026-08-09,1,WEDNESDAY,118,3.5,2,0,1,8.0000000000000000,0.33333333333333333333,1,2.67,1.17,0.67,0.00,0.33
91,Alta,US,NY,Queens,Floating NY 1,2026-08-02,4,TUESDAY,36,2.5,2,1,0,8.0000000000000000,1.00000000000000000000,1,8.00,2.50,2.00,1.00,0.00
